arch,F_star_M,S_star_KB,gamma,rf,image_size,k,S_over_Sstar,F_over_Fstar_minus_1,linear_bound,linear_OK
MobileNetV2,300.77,1176.00,27.000,47,224,1,1.0000,0.0000,0.0000,1
MobileNetV2,300.77,1176.00,27.000,47,224,2,0.5000,0.2098,0.0541,1
MobileNetV2,300.77,1176.00,27.000,47,224,4,0.2500,0.6295,0.0811,1
MobileNetV2,300.77,1176.00,27.000,47,224,6,0.1667,1.0491,0.0901,1
MobileNetV2,300.77,1176.00,27.000,47,224,10,0.1000,1.8884,0.0973,1
ResNet-50,4089.19,784.00,147.000,51,224,1,1.0000,0.0000,0.0000,1
ResNet-50,4089.19,784.00,147.000,51,224,2,0.5000,0.2277,0.0144,1
ResNet-50,4089.19,784.00,147.000,51,224,4,0.2500,0.6830,0.0216,1
ResNet-50,4089.19,784.00,147.000,51,224,6,0.1667,1.1384,0.0241,1
ResNet-50,4089.19,784.00,147.000,51,224,10,0.1000,2.0491,0.0260,1
EfficientNet-Lite0,385.19,1176.00,27.000,67,224,1,1.0000,0.0000,0.0000,1
EfficientNet-Lite0,385.19,1176.00,27.000,67,224,2,0.5000,0.2991,0.0422,1
EfficientNet-Lite0,385.19,1176.00,27.000,67,224,4,0.2500,0.8973,0.0633,1
EfficientNet-Lite0,385.19,1176.00,27.000,67,224,6,0.1667,1.4955,0.0703,1
EfficientNet-Lite0,385.19,1176.00,27.000,67,224,10,0.1000,2.6920,0.0760,1
RegNetY-400MF,401.85,588.00,27.000,45,224,1,1.0000,0.0000,0.0000,1
RegNetY-400MF,401.85,588.00,27.000,45,224,2,0.5000,0.2009,0.0202,1
RegNetY-400MF,401.85,588.00,27.000,45,224,4,0.2500,0.6027,0.0303,1
RegNetY-400MF,401.85,588.00,27.000,45,224,6,0.1667,1.0045,0.0337,1
RegNetY-400MF,401.85,588.00,27.000,45,224,10,0.1000,1.8080,0.0364,1
ShuffleNetV2-x1.0,144.91,294.00,27.000,55,224,1,1.0000,0.0000,0.0000,1
ShuffleNetV2-x1.0,144.91,294.00,27.000,55,224,2,0.5000,0.2455,0.0280,1
ShuffleNetV2-x1.0,144.91,294.00,27.000,55,224,4,0.2500,0.7366,0.0421,1
ShuffleNetV2-x1.0,144.91,294.00,27.000,55,224,6,0.1667,1.2277,0.0467,1
ShuffleNetV2-x1.0,144.91,294.00,27.000,55,224,10,0.1000,2.2098,0.0505,1
GhostNet-100,141.15,294.00,27.000,119,224,1,1.0000,0.0000,0.0000,1
GhostNet-100,141.15,294.00,27.000,119,224,2,0.5000,0.5312,0.0288,1
GhostNet-100,141.15,294.00,27.000,119,224,4,0.2500,1.5938,0.0432,1
GhostNet-100,141.15,294.00,27.000,119,224,6,0.1667,2.6562,0.0480,1
GhostNet-100,141.15,294.00,27.000,119,224,10,0.1000,4.7812,0.0518,1
