arch,k,F_macs_measured,S_peak_act_kb_int8,S_peak_inout_kb_int8,S_gpu_alloc_kb,latency_ms,F_predicted_analytical,S_predicted_kb_analytical,F_agreement_factor,S_agreement_factor,image_size,rf,peak_layer,patch_shape,error
mcunet-in0,1,6752768,36.0,72.0,12750.0,2.7647310052998364,6364224,36.0,1.0610512766363975,1.0,48,73,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 64, 24, 24)","(1, 3, 48, 48)",
mcunet-in0,2,13505536,36.0,72.0,12750.0,3.171687014400959,16043147,18.0,0.8418258587295872,2.0,48,73,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 64, 24, 24)","(1, 3, 48, 48)",
mcunet-in0,3,20258304,36.0,72.0,12750.0,3.5789679968729615,25722071,12.0,0.7875844833800513,3.0,48,73,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 64, 24, 24)","(1, 3, 48, 48)",
mcunet-in0,4,27011072,36.0,72.0,12750.0,6.290399003773928,35400996,9.0,0.7630031652216791,4.0,48,73,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 64, 24, 24)","(1, 3, 48, 48)",
mcunet-in0,5,33703168,36.0,72.0,12750.0,6.751601991709322,45079920,7.19921875,0.7476314953531417,5.0005425935973955,48,73,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 64, 24, 24)","(1, 3, 48, 48)",
mcunet-in0,6,40050048,36.0,72.0,12750.0,7.144085015170276,54758843,6.0,0.7313895949189431,6.0,48,73,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 64, 24, 24)","(1, 3, 48, 48)",
mcunet-in0,8,53434240,36.0,72.0,12750.0,10.207157989498228,74116691,4.5,0.7209474583801914,8.0,48,73,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 64, 24, 24)","(1, 3, 48, 48)",
mcunet-in0,10,66672464,36.0,72.0,12750.0,11.148924008011818,93474540,3.599609375,0.7132687039700863,10.001085187194791,48,73,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 64, 24, 24)","(1, 3, 48, 48)",
mcunet-in0,12,79322784,36.0,72.0,12750.0,14.189891051501036,112832387,3.0,0.7030143215883574,12.0,48,73,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 64, 24, 24)","(1, 3, 48, 48)",
mcunet-in0,16,106091168,36.0,72.0,12750.0,18.17052101250738,151548084,2.25,0.7000495499501004,16.0,48,73,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 64, 24, 24)","(1, 3, 48, 48)",
mcunet-in1,1,13690096,72.0,144.0,13567.0,2.7382359839975834,12790096,72.0,1.0703669464247962,1.0,96,67,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 32, 48, 48)","(1, 3, 96, 96)",
mcunet-in1,2,25729952,61.5,123.0,13346.5,2.129791013430804,21716517,36.0,1.1848102529517048,1.7083333333333333,96,67,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 32, 41, 48)","(1, 3, 81, 96)",
mcunet-in1,3,35992560,72.0,144.0,13567.0,3.561201971024275,30642938,24.0,1.1745792782663333,3.0,96,67,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 32, 48, 48)","(1, 3, 96, 96)",
mcunet-in1,4,43582432,61.5,123.0,13346.5,4.226078977808356,39569359,18.0,1.1014187012733767,3.4166666666666665,96,67,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 32, 41, 48)","(1, 3, 81, 96)",
mcunet-in1,5,52839632,64.5,129.0,13409.5,6.622880056966096,48495780,14.3994140625,1.089571752428768,4.479348931841302,96,67,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 32, 43, 48)","(1, 3, 85, 96)",
mcunet-in1,6,64742304,61.5,123.0,13346.5,6.895913975313306,57422201,12.0,1.127478621030218,5.125,96,67,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 32, 41, 48)","(1, 3, 81, 96)",
mcunet-in1,8,79229984,58.5,117.0,13283.5,9.985038021113724,75275044,9.0,1.0525398563699278,6.5,96,67,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 32, 39, 48)","(1, 3, 78, 96)",
mcunet-in1,10,98822080,57.0,114.0,13252.0,10.728108987677842,93127886,7.19921875,1.0611438124988686,7.917525773195877,96,67,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 32, 38, 48)","(1, 3, 75, 96)",
mcunet-in1,12,118179936,55.5,111.0,13220.5,13.802131987176836,110980728,6.0,1.0648689923893813,9.25,96,67,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 32, 37, 48)","(1, 3, 74, 96)",
mcunet-in1,16,149969536,54.0,108.0,13189.0,17.60150701738894,146686413,4.5,1.0223819161765173,12.0,96,67,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 32, 36, 48)","(1, 3, 72, 96)",
mcunet-in2,1,71591200,150.0,300.0,15844.0,1.3606230495497584,67287200,150.0,1.0639646173417827,1.0,160,87,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 80, 80)","(1, 3, 160, 160)",
mcunet-in2,2,112743040,116.25,232.5,15124.0,3.422326990403235,103874615,75.0,1.0853762490479508,1.55,160,87,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 62, 80)","(1, 3, 123, 160)",
mcunet-in2,3,155194240,131.25,262.5,15444.0,4.053801007103175,140462030,50.0,1.104883931977916,2.625,160,87,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 70, 80)","(1, 3, 139, 160)",
mcunet-in2,4,191936960,116.25,232.5,15124.0,5.6958289933390915,177049444,37.5,1.0840867706989241,3.1,160,87,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 62, 80)","(1, 3, 123, 160)",
mcunet-in2,5,227081280,112.5,225.0,15004.0,7.281449041329324,213636860,30.0,1.0629311814449998,3.75,160,87,"blocks.2.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 96, 30, 40)","(1, 3, 118, 160)",
mcunet-in2,6,263254880,105.0,210.0,14884.0,10.074858029838651,250224275,25.0,1.05207570288694,4.2,160,87,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 56, 80)","(1, 3, 112, 160)",
mcunet-in2,8,334304320,101.25,202.5,14764.0,11.127864010632038,323399104,18.75,1.0337206129055942,5.4,160,87,"blocks.2.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 96, 27, 40)","(1, 3, 106, 160)",
mcunet-in2,10,406027520,97.5,195.0,14684.0,14.424294990021735,396573935,15.0,1.0238381400431675,6.5,160,87,"blocks.2.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 96, 26, 40)","(1, 3, 102, 160)",
mcunet-in2,12,485900960,93.75,187.5,14644.0,17.797939013689756,469748764,12.5,1.0343847546557887,7.5,160,87,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 50, 80)","(1, 3, 99, 160)",
mcunet-in2,16,604692480,90.0,180.0,14564.0,22.105504001956433,616098425,9.375,0.981486813572036,9.6,160,87,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 48, 80)","(1, 3, 96, 160)",
mcunet-in3,1,86821712,181.5,363.0,16603.5,1.3545299880206585,81785520,181.5,1.0615780397312384,1.0,176,91,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 88, 88)","(1, 3, 176, 176)",
mcunet-in3,2,137426784,138.1875,276.375,15680.0,3.458093968220055,124072351,90.75,1.1076342383485585,1.5227272727272727,176,91,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 67, 88)","(1, 3, 133, 176)",
mcunet-in3,3,182432384,152.625,305.25,15987.5,4.090784001164138,166359182,60.5,1.0966174623291909,2.522727272727273,176,91,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 74, 88)","(1, 3, 148, 176)",
mcunet-in3,4,228976224,138.1875,276.375,15680.0,6.7998799495399,208646014,45.375,1.097438765353073,3.0454545454545454,176,91,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 67, 88)","(1, 3, 133, 176)",
mcunet-in3,5,263649712,129.9375,259.875,15504.0,7.278252043761313,250932845,36.2998046875,1.050678367752137,3.579564714427914,176,91,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 63, 88)","(1, 3, 125, 176)",
mcunet-in3,6,306075360,123.75,247.5,15371.5,10.08452702080831,293219676,30.25,1.043843183293061,4.090909090909091,176,91,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 60, 88)","(1, 3, 119, 176)",
mcunet-in3,8,387927904,115.5,231.0,15195.5,11.122537951450795,377793339,22.6875,1.0268256847164794,5.090909090909091,176,91,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 56, 88)","(1, 3, 112, 176)",
mcunet-in3,10,471403344,111.375,222.75,15107.5,14.477114018518478,462367002,18.1494140625,1.0195436567940892,6.136561743341404,176,91,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 54, 88)","(1, 3, 107, 176)",
mcunet-in3,12,560084896,107.25,214.5,15019.5,17.86916598211974,546940665,15.125,1.0240322796257981,7.090909090909091,176,91,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 52, 88)","(1, 3, 104, 176)",
mcunet-in3,16,726376512,105.1875,210.375,14976.0,22.16235297964886,716087990,11.34375,1.01436767847482,9.272727272727273,176,91,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 24, 51, 88)","(1, 3, 101, 176)",
mcunet-in4,1,131476000,300.0,600.0,19371.0,1.3009299873374403,125874400,300.0,1.0445015030856155,1.0,160,101,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 48, 80, 80)","(1, 3, 160, 160)",
mcunet-in4,2,231438560,243.75,487.5,18846.0,3.437264997046441,205332615,150.0,1.1271397873153273,1.625,160,101,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 48, 65, 80)","(1, 3, 130, 160)",
mcunet-in4,3,311960320,288.75,577.5,19266.0,4.007102979812771,284790830,100.0,1.0954015619112456,2.8875,160,101,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 48, 77, 80)","(1, 3, 153, 160)",
mcunet-in4,4,386449440,243.75,487.5,18846.0,6.815007014665753,364249045,75.0,1.0609483958976476,3.25,160,101,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 48, 65, 80)","(1, 3, 130, 160)",
mcunet-in4,5,463884720,247.5,495.0,18881.0,7.44150800164789,443707260,60.0,1.0454747123136998,4.125,160,101,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 48, 66, 80)","(1, 3, 132, 160)",
mcunet-in4,6,529466080,236.25,472.5,18776.0,7.9643159988336265,523165475,50.0,1.0120432354600617,4.725,160,101,"blocks.1.mobile_inverted_conv.inverted_bottleneck.conv (Conv2d) out=(1, 48, 63, 80)","(1, 3, 126, 160)",
