arch,family,image_size,k,F_star_macs,S_star_bytes,gamma_macs_per_byte,cc_i_star_macs,receptive_field,F_over_Fstar_minus_1,S_over_Sstar,linear_bound_F_overhead,weak_harmonic_bound_F_overhead,linear_OK,weak_harmonic_OK,notes
MobileNetV2,mobilenet-family,224,1,300774272,1204224,27.000000,10838016,47,0.00000000,1.000000,0.00000000,0.00000000,True,True,
MobileNetV2,mobilenet-family,224,2,300774272,1204224,27.000000,10838016,47,0.00138662,0.500000,0.00101982,0.03603372,True,False,
MobileNetV2,mobilenet-family,224,3,300774272,1204224,27.000000,10838016,47,0.00277324,0.333333,0.00135976,0.07206744,True,False,
MobileNetV2,mobilenet-family,224,4,300774272,1204224,27.000000,10838016,47,0.00415986,0.250000,0.00152973,0.10810116,True,False,
MobileNetV2,mobilenet-family,224,5,300774272,1204224,27.000000,10838016,47,0.00554649,0.200000,0.00163172,0.14413488,True,False,
MobileNetV2,mobilenet-family,224,6,300774272,1204224,27.000000,10838016,47,0.00693311,0.166667,0.00169970,0.18016860,True,False,
MobileNetV2,mobilenet-family,224,8,300774272,1204224,27.000000,10838016,47,0.00970635,0.125000,0.00178469,0.25223604,True,False,
MobileNetV2,mobilenet-family,224,10,300774272,1204224,27.000000,10838016,47,0.01247959,0.100000,0.00183568,0.32430348,True,False,
MobileNetV2,mobilenet-family,224,12,300774272,1204224,27.000000,10838016,47,0.01525283,0.083333,0.00186967,0.39637092,True,False,
MobileNetV2,mobilenet-family,224,16,300774272,1204224,27.000000,10838016,47,0.02079932,0.062500,0.00191217,0.54050580,True,False,
MnasNet1.0,mobilenet-family,224,1,314415872,602112,27.000000,10838016,73,0.00000000,1.000000,0.00000000,0.00000000,True,True,
MnasNet1.0,mobilenet-family,224,2,314415872,602112,27.000000,10838016,73,0.00212661,0.500000,0.00048779,0.03447032,True,False,
MnasNet1.0,mobilenet-family,224,3,314415872,602112,27.000000,10838016,73,0.00425322,0.333333,0.00065038,0.06894064,True,False,
MnasNet1.0,mobilenet-family,224,4,314415872,602112,27.000000,10838016,73,0.00637983,0.250000,0.00073168,0.10341096,True,False,
MnasNet1.0,mobilenet-family,224,5,314415872,602112,27.000000,10838016,73,0.00850644,0.200000,0.00078046,0.13788128,True,False,
MnasNet1.0,mobilenet-family,224,6,314415872,602112,27.000000,10838016,73,0.01063305,0.166667,0.00081298,0.17235160,True,False,
MnasNet1.0,mobilenet-family,224,8,314415872,602112,27.000000,10838016,73,0.01488627,0.125000,0.00085363,0.24129225,True,False,
MnasNet1.0,mobilenet-family,224,10,314415872,602112,27.000000,10838016,73,0.01913949,0.100000,0.00087802,0.31023289,True,False,
MnasNet1.0,mobilenet-family,224,12,314415872,602112,27.000000,10838016,73,0.02339271,0.083333,0.00089428,0.37917353,True,False,
MnasNet1.0,mobilenet-family,224,16,314415872,602112,27.000000,10838016,73,0.03189915,0.062500,0.00091460,0.51705481,True,False,
MnasNet0.75,mobilenet-family,224,1,215493104,602112,27.000000,8128512,73,0.00000000,1.000000,0.00000000,0.00000000,True,True,
MnasNet0.75,mobilenet-family,224,2,215493104,602112,27.000000,8128512,73,0.00250624,0.500000,0.00071171,0.03772052,True,False,
MnasNet0.75,mobilenet-family,224,3,215493104,602112,27.000000,8128512,73,0.00501249,0.333333,0.00094894,0.07544104,True,False,
MnasNet0.75,mobilenet-family,224,4,215493104,602112,27.000000,8128512,73,0.00751873,0.250000,0.00106756,0.11316156,True,False,
MnasNet0.75,mobilenet-family,224,5,215493104,602112,27.000000,8128512,73,0.01002497,0.200000,0.00113873,0.15088208,True,False,
MnasNet0.75,mobilenet-family,224,6,215493104,602112,27.000000,8128512,73,0.01253121,0.166667,0.00118618,0.18860260,True,False,
MnasNet0.75,mobilenet-family,224,8,215493104,602112,27.000000,8128512,73,0.01754370,0.125000,0.00124549,0.26404364,True,False,
MnasNet0.75,mobilenet-family,224,10,215493104,602112,27.000000,8128512,73,0.02255618,0.100000,0.00128107,0.33948468,True,False,
MnasNet0.75,mobilenet-family,224,12,215493104,602112,27.000000,8128512,73,0.02756867,0.083333,0.00130480,0.41492572,True,False,
MnasNet0.75,mobilenet-family,224,16,215493104,602112,27.000000,8128512,73,0.03759364,0.062500,0.00133445,0.56580780,True,False,
